Country,Population,Area__SqMi_,Phones__Per1000_
Montserrat ,9439,102,
Cyprus ,784301,9250,
Western Sahara ,273008,266000,
East Timor ,1062777,15007,0
Mozambique ,19686505,801590,3.5
Sierra Leone ,6005250,71740,4
Tanzania ,37445392,945087,4
Burkina Faso ,13902972,274200,7
Indonesia ,245452739,1919440,52
Kyrgyzstan ,5213898,198500,84
Jamaica ,2758124,10991,124
Qatar ,885359,11437,232
United States ,298444215,9631420,898
Botswana ,1639833,600370,80.5
Jordan ,5906760,92300,104.5
Isle of Man ,75441,572,676
American Samoa ,57794,199,259.5
Macedonia ,2050554,25333,260
Ireland ,4062235,70280,500.5
Liechtenstein ,33987,160,585.5
French Polynesia ,274578,4167,194.5
Spain ,40397842,504782,453.5
Sweden ,9016596,449964,715
Oman ,3102229,212460,85.5
Malaysia ,24385858,329750,179
Kuwait ,2418393,17820,211
Taiwan ,23036087,35980,591
Equatorial Guinea ,540109,28051,18.5
Comoros ,690948,2170,24.5
Maldives ,359008,300,90
Malta ,400214,316,505
Chile ,16134219,756950,213
British Virgin Is. ,23098,153,506.5
Australia ,20264082,7686850,565.5
Tajikistan ,7320815,143100,33.5
Sri Lanka ,20222240,65610,61.5
South Africa ,44187637,1219912,107
Anguilla ,13477,102,460
Guam ,171019,541,492
Grenada ,89703,344,364.5
Turkey ,70413958,780580,269.5
Turks & Caicos Is ,21152,430,269.5
Honduras ,7326496,112090,67.5
Peru ,28302603,1285220,79.5
Nauru ,13287,21,143
Guyana ,767245,214970,143.5
Trinidad & Tobago ,1065842,5128,303.5
United Kingdom ,60609153,244820,543.5
Moldova ,4466706,33843,208.1
Hungary ,9981334,93030,336.2
Andorra ,71201,468,497.2
Luxembourg ,474413,2586,515.4
Azerbaijan ,7961619,86600,137.1
Antigua & Barbuda ,69108,443,549.9
Burundi ,8090068,27830,3.4
Bangladesh ,147365352,144000,7.3
Angola ,12127071,1246700,7.8
Kenya ,34707817,582650,8.1
Burma ,47382633,678500,10.1
Togo ,5548702,56785,10.6
Laos ,6368481,236800,14.1
Cote d'Ivoire ,17654843,322460,14.6
Senegal ,11987121,196190,22.2
Philippines ,89468677,300000,38.4
Morocco ,33241259,446550,40.4
"Korea, North ",23113019,120540,42.4
Cape Verde ,420979,4033,169.6
Austria ,8192880,83870,452.2
Switzerland ,7523934,41290,680.9
Costa Rica ,4075261,51100,340.7
Georgia ,4661473,69700,146.6
France ,60876136,547030,586.4
Guernsey ,65409,78,842.4
Uzbekistan ,27307134,447400,62.9
Venezuela ,25730435,912050,140.1
Kazakhstan ,15233244,2717300,164.1
Slovakia ,5439448,48845,220.1
Saudi Arabia ,27019731,1960582,140.6
New Zealand ,4076140,268680,441.7
Bermuda ,65773,53,851.4
China ,1313973713,9596960,266.7
Lesotho ,2022331,30355,23.7
India ,1095351995,3287590,45.4
"Micronesia, Fed. St. ",108004,702,114.8
Mexico ,107449525,1972550,181.6
Japan ,127463611,377835,461.2
Norway ,4610820,323802,461.7
Germany ,82422299,357021,667.9
Lebanon ,3874050,10400,255.6
French Guiana ,199509,91000,255.6
Portugal ,10605870,92391,399.2
Saint Kitts & Nevis ,39129,261,638.9
San Marino ,29251,61,704.3
Guatemala ,12293545,108890,92.1
Colombia ,43593035,1138910,176.2
Macau ,453125,28,384.9
Greenland ,56361,2166086,448.9
Suriname ,439117,163270,184.7
Latvia ,2274735,64589,321.4
Cook Islands ,21388,240,289.9
Barbados ,279912,431,481.9
Cayman Islands ,45436,262,836.3
Fiji ,905949,18270,112.6
West Bank ,2460492,5860,145.2
Monaco ,32543,2,1035.6
Uruguay ,3431932,176220,291.4
Ukraine ,46710816,603700,259.9
Iran ,68688433,1648000,276.4
Croatia ,4494749,56542,420.4
Jersey ,91084,116,811.3
Liberia ,3042004,111370,2.3
Central African Rep. ,4303356,622984,2.3
Ethiopia ,74777981,1127127,8.2
Zambia ,11502010,752614,8.2
Benin ,7862944,112620,9.7
Gabon ,1424906,267667,27.4
Ecuador ,13547510,283560,125.6
Seychelles ,81541,455,262.4
Virgin Islands ,108605,1910,652.8
Niger ,12525094,1267000,1.9
Vietnam ,84402966,329560,187.7
Armenia ,2976372,29800,195.7
Algeria ,32930091,2381740,78.1
New Caledonia ,219246,19060,252.2
Tuvalu ,11810,26,59.3
Turkmenistan ,5042920,488100,74.6
Wallis and Futuna ,16025,274,118.6
Brunei ,379444,5770,237.2
Martinique ,436131,1100,394.4
Singapore ,4492150,693,411.4
Libya ,5900754,1759540,127.1
Reunion ,787584,2517,380.9
N. Mariana Islands ,82459,477,254.7
Haiti ,8308504,27750,16.9
Tunisia ,10175014,163610,123.6
Italy ,58133509,301230,430.9
Hong Kong ,6940432,1092,546.7
Sao Tome & Principe ,193413,1001,36.2
Brazil ,188078227,8511965,225.3
Thailand ,64631595,514000,108.9
Syria ,18881361,185180,153.8
Iceland ,299388,103000,647.7
Canada ,33098932,9984670,552.2
Kiribati ,105432,811,42.7
Dominican Republic ,9183984,48730,97.4
Palau ,20579,458,325.6
St Pierre & Miquelon ,7026,242,683.2
Slovenia ,2010347,20273,406.1
"Korea, South ",48846823,98480,486.1
Greece ,10688058,131940,589.7
Gibraltar ,27928,7,877.7
Egypt ,78887007,1001450,131.8
Gaza Strip ,1428757,360,244.3
Russia ,142893540,17075200,280.6
Rwanda ,8648248,26338,2.7
Guinea ,9690222,245857,2.7
Afghanistan ,31056997,647500,3.2
"Congo, Repub. of the ",3702314,342000,3.7
Mali ,11716829,1240000,6.4
Guinea-Bissau ,1442029,36120,7.4
Malawi ,13013926,118480,7.9
Eritrea ,4786994,121320,7.9
Nigeria ,131859731,923768,9.3
Somalia ,8863338,637657,11.3
Bhutan ,2279723,47000,14.3
Yemen ,21456188,527970,37.2
Paraguay ,6506464,406750,49.2
"Congo, Dem. Rep. ",62660551,2345410,0.2
Puerto Rico ,3927188,13790,283.1
"Bahamas, The ",303770,13940,460.6
Nicaragua ,5570129,129494,39.7
Mayotte ,201234,374,49.7
Belgium ,10379067,30528,462.6
Belarus ,10293011,207600,319.1
Bolivia ,8989046,1098580,71.9
Bulgaria ,7385367,110910,336.3
Dominica ,68910,754,304.8
Mauritius ,1240827,2040,289.3
Aruba ,71891,193,516.1
Poland ,38536869,312685,306.3
Denmark ,5450661,43094,614.6
Panama ,3191319,78200,137.9
Sudan ,41236378,2505810,16.3
Vanuatu ,208869,12200,32.6
Iraq ,26783383,437072,38.6
Namibia ,2044147,825418,62.6
Saint Helena ,7502,413,293.3
Finland ,5231372,338145,405.3
Tonga ,114689,748,97.7
Faroe Islands ,47246,1399,503.8
Mongolia ,2832224,1564116,55.1
Argentina ,39921833,2766890,220.4
Bahrain ,698585,665,281.3
Romania ,22303552,237500,196.9
Czech Republic ,10235455,78866,314.3
Cuba ,11382820,110860,74.7
United Arab Emirates ,2602713,82880,475.3
Cambodia ,13881427,181040,2.6
Madagascar ,18595469,587040,3.6
Uganda ,28195754,236040,3.6
Cameroon ,17340702,475440,5.7
Papua New Guinea ,5670544,462840,10.9
Mauritania ,3177388,1030700,12.9
Solomon Islands ,552438,28450,13.4
Ghana ,22409572,239460,14.4
Nepal ,28287147,147181,15.9
Djibouti ,486530,23000,22.8
"Gambia, The ",1641564,11300,26.8
Zimbabwe ,12236805,390580,26.8
Swaziland ,1136334,17363,30.8
Pakistan ,165803560,803940,31.8
Albania ,3581655,28748,71.2
Samoa ,176908,2944,75.2
Marshall Islands ,60422,11854,91.2
El Salvador ,6822378,21040,142.4
Netherlands ,16491461,41526,460.8
Chad ,9944201,1284000,1.3
Netherlands Antilles ,221736,960,365.3
Saint Vincent and the Grenadines ,117848,389,190.9
Serbia ,9396411,88361,285.8
Estonia ,1324333,45226,333.8
Israel ,6352117,20770,462.3
Belize ,287730,22966,115.7
Bosnia & Herzegovina ,4498976,51129,215.4
Lithuania ,3585906,65200,223.4
Saint Lucia ,168458,616,303.3
Guadeloupe ,452776,1780,463.8
