Dates,IHSG,KLCI,STI,SET,PSEI,SHANGHAI,HANGSENG,NIKKEI,KOSPI,SENSEX,DOW_JONES,S_P500,NASDAQ,FTSE,DAX,CAC
2019-01-01,6194,1690.58,3068.76,1563.88,7466.02,2494,25845.7,20014.77,2041.04,36254.57,23327.46,2506.85,6635.28,6728.13,10558.96,4730.69
2019-01-02,6181,1668.11,3038.89,1565.94,7489.2,2465,25130.35,20014.77,2010,35891.52,23346.24,2510.03,6665.94,6734.23,10580.19,4689.39
2019-01-03,6221.01,1675.83,3012.88,1560.03,7680.6,2464,25064.36,20014.77,1993.7,35513.71,22686.22,2447.89,6463.5,6692.66,10416.66,4611.49
2019-01-04,6274.54,1669.78,3059.23,1575.13,7761.11,2515,25626.03,19561.96,2010.25,35695.1,23433.16,2531.94,6738.86,6837.42,10767.69,4737.12
2019-01-07,6287,1679.17,3102.8,1592.72,7787.66,2533,25835.7,20038.97,2037.1,35850.16,23531.35,2549.69,6823.47,6810.88,10747.81,4719.17
2019-01-08,6263,1672.76,3122.94,1594,7702.12,2526,25875.45,20204.04,2025.27,35980.93,23787.45,2574.41,6897,6861.6,10803.98,4773.27
2019-01-09,6272,1667.83,3158.07,1590.5,7919.67,2544,26462.32,20427.06,2064.71,36212.91,23879.12,2584.96,6957.08,6906.63,10893.32,4813.58
2019-01-10,6329,1678.88,3183.51,1587.63,7985.23,2535,26521.43,20163.8,2063.28,36106.5,24001.92,2596.64,6986.07,6942.87,10921.59,4805.66
2019-01-11,6361,1683.22,3198.65,1597.04,7904.09,2554,26667.27,20359.7,2075.57,36009.84,23995.95,2596.26,6971.48,6918.18,10887.46,4781.34
2019-01-14,6336,1676.16,3173.46,1582.57,8024.14,2536,26298.33,20359.7,2064.52,35853.56,23909.84,2582.61,6905.92,6855.02,10855.91,4762.75
2019-01-15,6409,1679.42,3212.3,1577,8013.42,2570,26830.29,20555.29,2097.18,36318.33,24065.59,2610.3,7023.83,6895.02,10891.79,4786.17
2019-01-16,6413.36,1673.08,3229.11,1577.41,7864.7,2570,26902.1,20442.75,2106.1,36321.29,24207.16,2616.1,7034.69,6862.68,10931.24,4810.74
2019-01-17,6423.78,1682.97,3214.44,1580.3,7927.2,2560,26755.63,20402.27,2107.06,36374.08,24370.1,2635.96,7084.46,6834.92,10918.62,4794.37
2019-01-18,6448,1692.22,3224.34,1583.77,8047.12,2596,27090.81,20666.07,2124.28,36386.61,24706.35,2670.71,7157.23,6968.33,11205.54,4875.93
2019-01-21,6451,1692.22,3220.56,1588.38,8007.46,2610.51,27196.54,20719.33,2124.61,36578.96,24706.35,2670.71,7157.23,6970.59,11136.2,4867.78
2019-01-22,6469,1702.12,3192.71,1601.77,8008.67,2580,27005.45,20622.91,2117.77,36444.64,24404.48,2632.9,7020.36,6901.39,11090.11,4847.53
2019-01-23,6451.17,1688.14,3171.11,1617.38,7989.65,2581,27008.2,20593.72,2127.78,36108.47,24575.62,2638.7,7025.77,6842.88,11071.54,4840.38
2019-01-24,6467,1693.59,3190.73,1620.53,8064.9,2592,27120.98,20574.63,2145.03,36195.1,24553.24,2642.33,7073.46,6818.95,11130.18,4871.96
2019-01-25,6483,1701.03,3202.25,1623.62,8053.2,2602,27569.19,20773.56,2177.73,36025.54,24737.2,2664.76,7164.86,6809.22,11281.79,4925.82
2019-01-28,6459,1697.5,3199.5,1625.03,8053.92,2597,27576.96,20649,2177.3,35656.7,24528.22,2643.85,7085.69,6747.1,11210.31,4888.58
2019-01-29,6436.48,1690.41,3187.69,1624.05,8050.82,2594,27531.68,20664.64,2183.36,35592.5,24579.96,2640,7028.29,6833.93,11218.83,4928.18
2019-01-30,6464,1684.11,3174.38,1632.6,7979.95,2576,27642.85,20556.54,2206.2,35591.25,25014.86,2681.05,7183.08,6941.63,11181.66,4974.76
2019-01-31,6533,1683.53,3190.17,1641.73,8007.48,2585,27942.47,20773.49,2204.85,36256.69,24999.67,2704.1,7281.74,6968.85,11173.1,4992.72
2019-02-01,6539,1683.53,3188.68,1651.4,8144.16,2618,27930.74,20788.39,2203.46,36469.43,25063.89,2706.53,7263.87,7020.22,11180.66,5019.26
2019-02-04,6481,1683.61,3184.56,1653.62,8069.48,2618,27990.21,20883.77,2203.46,36582.74,25239.37,2724.87,7347.54,7034.13,11176.58,5000.19
2019-02-05,6481,1683.61,3184.56,1653.09,8069.48,2618,27990.21,20844.45,2203.46,36616.81,25411.52,2737.7,7402.08,7177.37,11367.98,5083.34
2019-02-06,6548,1683.61,3184.56,1658.71,8058.45,2618,27990.21,20874.06,2203.46,36975.23,25390.3,2731.61,7375.28,7173.09,11324.72,5079.05
2019-02-07,6536,1693.39,3200.64,1653.11,8100.3,2618,27990.21,20751.28,2203.42,36971.09,25169.53,2706.05,7288.35,7093.58,11022.02,4985.56
2019-02-08,6522,1686.52,3202.04,1651.68,8070.89,2618,27946.32,20333.17,2177.05,36546.48,25106.33,2707.88,7298.2,7071.18,10906.78,4961.64
2019-02-11,6495,1688.56,3206.27,1638,8061.54,2654,28143.84,20333.17,2180.73,36395.03,25053.11,2709.8,7307.91,7129.11,11014.59,5014.47
2019-02-12,6426,1687.41,3201.15,1642.49,8009.92,2672,28171.33,20864.21,2190.47,36153.62,25425.76,2744.73,7414.62,7133.14,11126.08,5056.35
2019-02-13,6419,1685.3,3244.77,1655.73,7920.24,2721,28497.59,21144.48,2201.48,36034.11,25543.27,2753.03,7420.38,7190.84,11167.22,5074.27
2019-02-14,6420,1689.06,3253.16,1652.64,7991.25,2719.7,28432.05,21139.71,2225.85,35876.22,25439.39,2745.73,7426.96,7197.01,11089.79,5062.52
2019-02-15,6389,1688.83,3239.74,1636.94,7908.89,2682,27900.84,20900.63,2196.09,35808.95,25883.25,2775.6,7472.41,7236.68,11299.8,5153.19
2019-02-18,6498,1692.74,3265.97,1635.71,7971.33,2754,28347.01,21281.85,2210.89,35498.44,25883.25,2775.6,7472.41,7219.47,11299.2,5168.54
2019-02-19,6495,1706.56,3259.8,1635.71,7833.75,2756,28228.13,21302.65,2205.63,35352.61,25891.32,2779.76,7486.77,7179.17,11309.21,5160.52
2019-02-20,6513,1726.18,3278.38,1645.38,7939.24,2761,28514.05,21431.49,2229.76,35756.26,25954.44,2784.7,7489.07,7228.62,11401.97,5195.95
2019-02-21,6538,1730.68,3277.91,1647.32,7931.3,2752,28629.92,21464.23,2228.66,35898.35,25850.63,2774.88,7459.71,7167.39,11423.28,5196.11
2019-02-22,6501,1721.42,3269.9,1659.2,7962.13,2804,28816.3,21425.51,2230.5,35871.48,26031.81,2792.67,7527.55,7178.6,11457.7,5215.85
2019-02-25,6525,1724.58,3272.35,1671.75,7962.13,2961,28959.3,21528.23,2232.56,36213.38,26091.95,2796.11,7554.46,7183.74,11505.39,5231.85
2019-02-26,6540.95,1719,3261.66,1663.56,7988.16,2942,28772.06,21449.39,2226.6,35973.71,26057.98,2793.9,7549.3,7151.12,11540.79,5238.72
2019-02-27,6526,1713.45,3250.02,1665.27,7889.12,2954,28757.44,21556.51,2234.79,35905.43,25985.16,2792.38,7554.51,7107.2,11487.33,5225.35
2019-02-28,6443,1707.73,3212.69,1653.48,7705.49,2941,28633.18,21385.16,2195.44,35867.44,25916,2784.49,7532.53,7074.73,11515.64,5240.53
2019-03-01,6500,1700.76,3220.4,1641.44,7641.77,2994,28812.17,21602.69,2195.44,36063.81,26026.32,2803.69,7595.35,7106.73,11601.68,5265.19
2019-03-04,6488.42,1693.99,3251.08,1635.3,7675.47,3028,28959.59,21822.04,2190.66,36063.81,25819.65,2792.81,7577.57,7134.39,11592.66,5286.57
2019-03-05,6441.28,1685.62,3234.07,1639,7670.62,3054,28961.6,21726.28,2179.23,36442.54,25806.63,2789.65,7576.36,7183.43,11620.74,5297.52
2019-03-06,6458,1686.82,3222.84,1625.51,7821.34,3102,29037.6,21596.81,2175.6,36636.1,25673.46,2771.45,7505.92,7196,11587.63,5288.81
2019-03-07,6458,1686.95,3229.48,1633.21,7881.79,3106,28779.45,21456.01,2165.79,36725.42,25473.23,2748.93,7421.46,7157.55,11517.8,5267.92
2019-03-08,6383,1679.9,3195.87,1630.12,7797.11,2970,28228.42,21025.56,2137.44,36671.43,25450.24,2743.07,7408.14,7104.31,11457.84,5231.22
2019-03-11,6366,1664.63,3191.42,1627.43,7708.72,3027,28503.3,21125.09,2138.1,37054.1,25650.88,2783.3,7558.06,7130.62,11543.48,5265.96
2019-03-12,6354,1671.28,3212.25,1627.59,7747.54,3060,28920.87,21503.69,2157.18,37535.66,25554.66,2791.52,7591.03,7151.15,11524.17,5270.25
2019-03-13,6378,1678.24,3195.59,1639.67,7766.15,3027,28807.45,21290.24,2148.41,37752.17,25702.89,2810.92,7643.41,7159.19,11572.41,5306.38
2019-03-14,6413,1674.52,3197.92,1635.88,7750.42,2991,28851.39,21287.02,2155.68,37754.89,25709.94,2808.48,7630.91,7185.43,11587.47,5349.78
2019-03-15,6461,1680.54,3200.18,1625.57,7798.28,3022,29012.26,21450.85,2176.11,38024.32,25848.87,2822.48,7688.53,7228.28,11685.69,5405.32
2019-03-18,6509,1690.94,3212.96,1617.57,7873.02,3096,29409.01,21584.5,2179.49,38095.07,25914.1,2832.94,7714.48,7299.19,11657.06,5412.83
2019-03-19,6480,1687.68,3220.92,1630.09,7843.41,3091,29466.28,21566.85,2177.62,38363.47,25887.38,2832.57,7723.95,7324,11788.41,5425.9
2019-03-20,6482.71,1684.21,3207.66,1627.62,7858.2,3090.64,29320.97,21608.92,2177.1,38386.75,25745.67,2824.23,7728.97,7291.01,11603.89,5382.66
2019-03-21,6502,1663.66,3213.65,1634,7954.72,3101,29071.56,21608.92,2184.88,38386.75,25962.51,2854.88,7838.96,7355.31,11549.96,5378.85
2019-03-22,6525,1666.66,3212.1,1646.29,8013.42,3104,29113.36,21627.34,2186.95,38164.61,25502.32,2800.71,7642.67,7207.59,11364.17,5269.92
2019-03-25,6411,1649.15,3182.92,1625.91,7863.02,3043,28523.35,20977.11,2144.86,37808.91,25516.83,2798.36,7637.54,7177.58,11346.65,5260.64
2019-03-26,6470,1649.94,3200.28,1632.32,7907.03,2997,28566.91,21428.39,2148.8,38233.41,25657.73,2818.46,7691.52,7196.29,11419.48,5307.38
2019-03-27,6445,1642.73,3198.39,1629.4,7861.05,3023,28728.25,21378.73,2145.62,38132.88,25625.59,2805.37,7643.38,7194.19,11419.04,5301.24
2019-03-28,6481,1641.33,3203.58,1634.25,7876.4,2995,28775.21,21033.76,2128.1,38545.72,25717.46,2815.44,7669.17,7234.33,11428.16,5296.54
2019-03-29,6469,1643.63,3212.88,1638.65,7920.93,3091,29051.36,21205.81,2140.67,38672.91,25928.68,2834.4,7729.32,7279.19,11526.04,5350.53
2019-04-01,6453,1628.66,3250.51,1644.64,7840.31,3170,29562.02,21509.03,2168.28,38871.87,26258.42,2867.19,7828.91,7317.38,11681.99,5405.53
2019-04-02,6476,1632.83,3279.78,1651.48,7879.21,3177,29624.67,21505.31,2177.18,39056.65,26179.13,2867.24,7848.69,7391.12,11754.79,5423.47
2019-04-03,6476,1643.21,3311.27,1649.06,7895.06,3216,29986.39,21713.21,2203.27,38877.12,26218.13,2873.4,7895.55,7418.28,11954.4,5468.91
2019-04-04,6494.63,1645.07,3316.21,1644.22,7854.13,3247,29936.32,21724.95,2206.53,38684.72,26384.63,2879.39,7891.78,7401.94,11988.01,5463.8
2019-04-05,6474,1641.81,3322.64,1646.18,7873.18,3247,29936.32,21807.5,2209.61,38862.23,26424.99,2892.74,7938.69,7446.87,12009.75,5476.2
2019-04-08,6426,1644.35,3315.42,1646.18,7915.63,3244.81,30077.15,21761.65,2210.6,38700.53,26341.02,2895.77,7953.88,7451.89,11963.4,5471.78
2019-04-09,6484,1641.94,3325.6,1657.74,7915.63,3240,30157.49,21802.59,2213.56,38939.22,26150.58,2878.2,7909.28,7425.57,11850.57,5436.42
2019-04-10,6478,1639.46,3327.65,1662.13,8008.53,3241.93,30119.56,21687.57,2224.39,38585.35,26157.16,2888.21,7964.24,7421.91,11905.91,5449.88
2019-04-11,6410,1624.23,3330.82,1659.09,7955.8,3190,29839.45,21711.38,2224.44,38607.01,26143.05,2888.32,7947.36,7417.95,11935.2,5485.72
2019-04-12,6406,1630.17,3331.98,1660.45,7880.82,3189,29909.76,21870.56,2233.45,38767.11,26412.3,2907.41,7984.16,7437.06,11999.93,5502.7
2019-04-15,6435,1631.33,3325.86,1660.45,7787.98,3178,29810.72,22169.11,2242.88,38905.84,26384.77,2905.58,7976.01,7436.87,12020.28,5508.73
2019-04-16,6482,1629.46,3332.04,1660.45,7826.46,3254,30129.87,22221.66,2248.63,39275.64,26452.66,2907.06,8000.23,7469.92,12101.32,5528.67
2019-04-17,6482,1620.9,3348.64,1673.2,7835.15,3263,30124.68,22277.97,2245.89,39275.64,26449.54,2900.45,7996.08,7471.32,12153.07,5563.09
2019-04-18,6507,1619.73,3347.58,1675,7835.15,3250,29963.26,22090.12,2213.77,39140.28,26559.54,2905.03,7998.06,7459.88,12222.39,5580.38
2019-04-19,6507,1622.07,3347.58,1674.1,7835.15,3271,29963.26,22200.56,2216.15,39140.28,26559.54,2905.03,7998.06,7459.88,12222.39,5580.38
2019-04-22,6415,1622.06,3357.7,1673.48,7832.43,3215,29963.26,22217.9,2216.65,38645.18,26511.05,2907.97,8015.27,7459.88,12222.39,5580.38
2019-04-23,6463,1627.44,3353.47,1671.31,7818.93,3199,29963.24,22259.74,2220.51,38564.88,26656.39,2933.68,8120.82,7523.07,12235.51,5591.69
2019-04-24,6448,1638.01,3362.43,1673.43,7846.99,3202,29805.83,22200,2201.03,39054.68,26597.05,2927.25,8102.02,7471.75,12313.16,5576.06
2019-04-25,6373,1635.68,3350.28,1673.32,7894.45,3124,29549.8,22307.58,2190.5,38730.86,26462.08,2926.17,8106.29,7434.13,12282.6,5557.67
2019-04-26,6401.08,1638.38,3356.95,1667.15,7868.28,3086,29605.01,22258.73,2179.31,39067.33,26543.33,2939.88,8133.96,7428.19,12315.18,5569.36
2019-04-29,6426,1637.4,3407.02,1666.68,7897.02,3062,29892.81,22258.73,2216.43,39067.33,26554.39,2943.03,8149.39,7440.66,12328.02,5580.98
2019-04-30,6455,1642.29,3400.2,1673.52,7952.72,3078,29699.11,22258.73,2203.59,39031.55,26592.91,2945.83,8095.39,7418.22,12344.08,5586.41
2019-05-01,6455,1642.29,3400.2,1673.52,7952.72,3078,29699.11,22258.73,2203.59,39031.55,26430.14,2923.73,8049.64,7385.26,12344.08,5586.41
2019-05-02,6374,1632.24,3393.33,1679.17,8001.57,3078,29944.18,22258.73,2212.75,38981.43,26307.79,2917.52,8036.77,7351.31,12345.42,5538.86
2019-05-03,6319,1637.3,3392.29,1679.05,7967.98,3078,30081.55,22258.73,2196.32,38963.26,26504.95,2945.64,8164,7380.64,12412.75,5548.84
2019-05-06,6256,1632.8,3290.62,1679.05,7862.3,2906,29209.82,22258.73,2196.32,38600.34,26438.48,2932.47,8123.29,7380.64,12286.88,5483.52
2019-05-07,6297,1639.37,3312.52,1669.68,7910.63,2926,29363.02,21923.72,2176.99,38276.63,25965.09,2884.05,7963.76,7260.47,12092.74,5395.75
2019-05-08,6270,1633.55,3283.84,1654.01,7926.69,2894,29003.2,21602.59,2168.01,37789.13,25967.33,2879.42,7943.32,7271,12179.93,5417.59
2019-05-09,6199,1618.53,3269.7,1646.8,7755.62,2851,28311.07,21402.13,2102.01,37558.91,25828.36,2870.72,7910.59,7207.41,11973.92,5313.16
2019-05-10,6209,1610.27,3273.5,1648.69,7742.2,2939,28550.24,21344.92,2108.04,37462.99,25942.37,2881.4,7916.94,7203.29,12059.83,5327.44
2019-05-13,6135,1601.09,3234.28,1640.13,7742.2,2904,28550.24,21191.28,2079.01,37090.82,25324.99,2811.87,7647.02,7163.68,11876.65,5262.57
2019-05-14,6071,1599.19,3223.71,1633.84,7646.66,2884,28122.02,21067.23,2081.84,37318.53,25532.05,2834.41,7734.49,7241.6,11991.62,5341.35
2019-05-15,5981,1611.43,3218.77,1621.27,7576.71,2939,28268.71,21188.56,2092.78,37114.88,25648.02,2850.96,7822.15,7296.95,12099.57,5374.26
2019-05-16,5896,1599.19,3230.26,1614.75,7475.16,2956,28275.07,21062.98,2067.69,37393.48,25862.68,2876.32,7898.05,7353.51,12310.37,5448.11
2019-05-17,5827,1605.36,3205.46,1608.11,7583.82,2882,27946.46,21250.09,2055.8,37930.77,25764,2859.53,7816.29,7348.62,12238.94,5438.23
2019-05-20,5907,1605.36,3205.46,1608.11,7660.14,2871,27787.61,21301.73,2055.71,39352.67,25679.9,2840.23,7702.38,7310.88,12041.29,5358.59
2019-05-21,5951,1603.74,3183.26,1610.49,7721.56,2906,27657.24,21272.45,2061.25,38969.8,25877.33,2864.36,7785.72,7328.92,12143.47,5385.46
2019-05-22,5940,1603.74,3183.14,1626.91,7815.07,2892,27705.94,21283.37,2064.86,39110.21,25776.61,2856.27,7750.84,7334.19,12168.74,5378.98
2019-05-23,6033,1601.87,3160.72,1609.79,7804.03,2853,27267.13,21151.14,2059.59,38811.39,25490.47,2822.24,7628.28,7231.04,11952.41,5281.37
2019-05-24,6057,1598.32,3169.89,1614.12,7747.09,2853,27353.93,21117.22,2045.31,39434.72,25585.69,2826.06,7637.01,7277.73,12011.04,5316.51
2019-05-27,6099,1601.35,3170.77,1624.84,7725.01,2892,27288.09,21182.58,2044.21,39683.29,25585.69,2826.06,7637.01,7277.73,12071.18,5336.19
2019-05-28,6033,1614.57,3165.32,1632.04,7761.29,2910,27390.81,21260.14,2048.83,39749.73,25347.77,2802.39,7607.35,7268.95,12027.05,5312.69
2019-05-29,6104,1623.67,3163.28,1619.36,7797.75,2915,27235.71,21003.37,2023.32,39502.05,25126.41,2783.02,7547.31,7185.3,11837.81,5222.12
2019-05-30,6104,1636.5,3143,1621.57,7836.55,2906,27114.88,20942.53,2038.8,39831.97,25169.88,2788.86,7567.72,7218.16,11902.08,5248.91
2019-05-31,6209,1650.76,3117.76,1620.22,7970.02,2899,26901.09,20601.19,2041.74,39714.2,24815.04,2752.06,7453.15,7161.71,11726.84,5207.63
2019-06-03,6209,1655.31,3123.46,1620.22,8084.88,2890,26893.86,20410.88,2067.85,40267.62,24819.78,2744.45,7333.02,7184.8,11792.81,5241.46
2019-06-04,6209,1644.09,3142.37,1637.69,7945.37,2862.28,26761.52,20408.54,2066.97,40083.54,25332.18,2803.27,7527.12,7214.29,11971.17,5268.26
2019-06-05,6209,1644.09,3142.37,1648.46,7945.37,2861,26895.44,20776.1,2069.11,40083.54,25539.57,2826.15,7575.48,7220.22,11980.81,5292
2019-06-06,6209,1644.09,3146.18,1653.41,7959.86,2828,26965.28,20774.04,2069.11,39529.72,25720.66,2843.49,7615.55,7259.85,11953.14,5278.43
2019-06-07,6209,1649.33,3166.29,1653.5,7983.98,2828,26965.28,20884.71,2072.33,39615.9,25983.94,2873.34,7742.1,7331.94,12045.38,5364.05
2019-06-10,6289.61,1655.47,3188.11,1664.73,8045.39,2852.13,27578.64,21134.42,2099.49,39784.52,26062.68,2886.73,7823.17,7375.54,12045.38,5382.5
2019-06-11,6306,1651.2,3209.58,1670.41,8030.98,2926,27789.34,21204.28,2111.81,39950.46,26048.51,2885.72,7822.57,7398.45,12155.81,5408.45
2019-06-12,6276,1650.74,3207.74,1671.11,8030.98,2909.38,27308.46,21129.72,2108.75,39756.81,26004.83,2879.84,7792.72,7367.62,12115.68,5374.92
2019-06-13,6273,1643.74,3220.66,1674.14,8051.76,2910.74,27294.71,21032,2103.15,39741.36,26106.77,2891.64,7837.13,7368.57,12169.05,5375.63
2019-06-14,6250,1638.63,3222.63,1672.33,7990.2,2882,27118.35,21116.89,2095.41,39452.07,26089.61,2886.98,7796.66,7345.78,12096.4,5367.62
2019-06-17,6191,1638.4,3207.99,1667.23,7908.99,2888,27227.16,21124,2090.73,38960.79,26112.53,2889.67,7845.02,7357.31,12085.82,5390.95
2019-06-18,6257.33,1652.76,3238.73,1683.6,7922.04,2890,27498.77,20972.71,2098.71,39046.34,26465.54,2917.75,7953.88,7443.04,12331.75,5509.73
2019-06-20,6336,1675.43,3314.51,1717.82,8022.42,2987,28550.43,21462.86,2131.29,39601.63,26753.17,2954.18,8051.34,7424.44,12355.39,5535.57
2019-06-21,6315,1682.23,3321.4,1717.14,8055.47,3001.98,28473.71,21258.64,2125.62,39194.49,26719.13,2950.46,8031.71,7407.5,12339.92,5528.33
2019-06-24,6288,1676.13,3311.53,1716,8060.58,3008,28513,21285.99,2126.33,39122.96,26727.54,2945.35,8005.7,7416.69,12274.57,5521.71
2019-06-25,6320,1676.61,3304.27,1721.33,8034.09,2982,28185.98,21193.81,2121.64,39434.94,26548.22,2917.38,7884.72,7422.43,12228.44,5514.57
2019-06-26,6310,1674.49,3301.25,1722.21,8013.57,2976,28221.98,21086.59,2121.85,39592.08,26536.82,2913.78,7909.97,7416.39,12245.32,5500.72
2019-06-27,6352.71,1672.7,3328.6,1731.64,8057.64,2997,28621.42,21338.17,2134.32,39586.41,26526.58,2924.92,7967.76,7402.33,12271.03,5493.61
2019-06-28,6359,1672.13,3321.61,1730.34,7999.71,2979,28542.62,21275.92,2130.62,39394.64,26599.96,2941.76,8006.24,7425.63,12398.8,5538.97
2019-07-01,6380,1683.62,3372.26,1740.91,8043.71,3045,28542.62,21729.97,2129.74,39686.5,26717.43,2964.33,8091.16,7497.5,12521.38,5567.91
2019-07-02,6385,1691,3370.8,1732.23,8093.6,3044,28875.56,21754.27,2122.02,39816.48,26786.68,2973.01,8109.09,7559.19,12526.72,5576.82
2019-07-03,6363,1690.05,3367.8,1738.51,8092.68,3015,28855.14,21638.16,2096.02,39839.25,26966,2995.82,8170.23,7609.32,12616.24,5618.81
2019-07-04,6376,1687.48,3372.25,1724.37,8064.92,3005,28795.77,21702.45,2108.73,39908.06,26966,2995.82,8170.23,7603.58,12629.9,5620.73
2019-07-05,6373,1682.53,3366.81,1731.23,8117.94,3011,28774.83,21746.38,2110.59,39513.39,26922.12,2990.41,8161.79,7553.14,12568.53,5593.72
2019-07-08,6352,1677.64,3334.23,1731.03,8051.52,2933,28331.69,21534.35,2064.17,38720.57,26806.14,2975.95,8098.38,7549.27,12543.51,5589.19
2019-07-09,6388,1682.87,3329.46,1721.48,8042.04,2928,28116.28,21565.15,2052.03,38730.82,26783.49,2979.63,8141.73,7536.47,12436.55,5572.1
2019-07-10,6411,1678.97,3340.42,1739.43,8078.21,2915,28204.69,21533.48,2058.78,38557.04,26860.2,2993.07,8202.53,7530.69,12373.41,5567.59
2019-07-11,6417,1679.26,3350.45,1740.45,8154.49,2918,28431.8,21643.53,2080.58,38823.11,27088.08,2999.91,8196.04,7509.82,12332.12,5551.95
2019-07-12,6373,1669.45,3357.34,1731.59,8141.82,2931,28471.62,21685.9,2086.66,38736.23,27332.03,3013.77,8244.15,7505.97,12323.32,5572.86
2019-07-15,6418,1672.37,3347.95,1727.98,8365.29,2942,28554.88,21685.9,2082.48,38896.71,27359.16,3014.3,8258.19,7531.72,12387.34,5578.21
2019-07-16,6401.88,1668.94,3360.03,1727.98,8263.57,2938,28619.62,21535.25,2091.87,39131.04,27335.63,3004.04,8222.8,7577.2,12430.97,5614.38
2019-07-17,6395,1657.53,3364.87,1718.85,8233.48,2932,28593.17,21469.18,2072.92,39215.64,27219.85,2984.42,8185.21,7535.46,12341.03,5571.71
2019-07-18,6403,1648.93,3361.05,1723.44,8258.05,2901,28461.66,21046.24,2066.55,38897.46,27222.97,2995.11,8207.24,7493.09,12227.85,5550.55
2019-07-19,6457,1658.19,3377.96,1735.1,8270.07,2924,28765.4,21466.99,2094.36,38337.01,27154.2,2976.61,8146.49,7508.7,12260.07,5552.34
2019-07-22,6434,1655.4,3357.22,1727.58,8246.83,2887,28371.26,21416.79,2093.34,38031.13,27171.9,2985.03,8204.14,7514.93,12289.4,5567.02
